title,artist,genre,year,bpm,dB,duration,popularity
Runnin' (Lose It All),Naughty Boy,tropical house,2016,139,-6,213,69
Here,Alessia Cara,canadian contemporary r&b,2016,120,-4,199,68
Perfect Illusion,Lady Gaga,dance pop,2016,125,-5,182,67
PILLOWTALK,ZAYN,dance pop,2016,125,-4,204,66
Out Of The Woods,Taylor Swift,pop,2016,92,-7,236,66
Rise,Katy Perry,dance pop,2016,101,-6,203,66
Wherever I Go,OneRepublic,dance pop,2016,100,-6,170,66
Body Say,Demi Lovato,dance pop,2016,87,-5,194,65
Don't Be A Fool,Shawn Mendes,canadian pop,2016,175,-6,216,65
LIKE I WOULD,ZAYN,dance pop,2016,113,-6,192,65
Cheap Thrills,Sia,australian dance,2016,90,-5,225,64
I Got You,Bebe Rexha,dance pop,2016,98,-5,192,64
Run Away With Me,Carly Rae Jepsen,canadian pop,2016,119,-6,251,63
Cruel (feat. ZAYN),Snakehips,dance pop,2016,110,-4,228,63
Send My Love (To Your New Lover),Adele,british soul,2016,164,-8,223,61
WTF (Where They From),Missy Elliott,dance pop,2016,120,-3,193,58
Desire,Years & Years,dance pop,2016,126,-5,203,58
When We Were Young,Adele,british soul,2016,144,-6,291,58
I Know What You Did Last Summer,Shawn Mendes,canadian pop,2016,114,-5,224,57
Wish That You Were Here - From “Miss Peregrine’s Home for Peculiar Children” Original Motion Picture,Florence + The Machine,art pop,2016,94,-6,403,57
Hurts,Emeli Sandé,dance pop,2016,106,-8,238,57
Change,Christina Aguilera,dance pop,2016,82,-6,187,54
Make Me... (feat. G-Eazy),Britney Spears,dance pop,2016,123,-7,231,53
Keeping Your Head Up,Birdy,neo mellow,2016,122,-5,208,52
True Colors,Zedd,complextro,2016,126,-3,225,51
Make Me Like You,Gwen Stefani,dance pop,2016,118,-5,217,50
Champagne Problems,Nick Jonas,dance pop,2016,108,-5,193,50
Blown,DNCE,dance pop,2016,130,-5,197,48
Start,John Legend,neo mellow,2016,110,-15,310,47
Pep Rally,Missy Elliott,dance pop,2016,90,-4,263,47
Higher,Carly Rae Jepsen,canadian pop,2016,114,-5,234,46
Invitation,Britney Spears,dance pop,2016,112,-7,200,44
One Call Away (feat. Tyga) - Remix,Charlie Puth,dance pop,2016,91,-5,192,41
Beautiful Birds (feat. Birdy),Passenger,folk-pop,2016,86,-13,214,36
Little Lies,Hilary Duff,dance pop,2016,124,-6,204,36
Do You Wanna Come Over?,Britney Spears,dance pop,2016,121,-6,203,34
BURNITUP!,Janet Jackson,dance pop,2016,123,-7,250,31
Picky - Remix,Joey Montana,latin,2016,186,-3,225,29
Behind Your Back,Nelly Furtado,canadian latin,2016,98,-10,228,18
Million Years Ago,Adele,british soul,2016,0,-60,227,0
Shape of You,Ed Sheeran,pop,2017,96,-3,234,87
Closer,The Chainsmokers,electropop,2017,95,-6,245,86
Starboy,The Weeknd,canadian contemporary r&b,2017,186,-7,230,85
Treat You Better,Shawn Mendes,canadian pop,2017,83,-4,188,84
That's What I Like,Bruno Mars,pop,2017,134,-5,207,83
Let Me Love You,DJ Snake,electronic trap,2017,100,-5,206,82
I Feel It Coming,The Weeknd,canadian contemporary r&b,2017,93,-6,269,81
Mercy,Shawn Mendes,canadian pop,2017,148,-5,209,81
Side To Side,Ariana Grande,dance pop,2017,159,-6,226,80
Stay,Zedd,complextro,2017,102,-5,210,80
It Ain't Me (with Selena Gomez),Kygo,edm,2017,100,-7,221,79
Malibu,Miley Cyrus,dance pop,2017,140,-6,232,78
Something Just Like This,The Chainsmokers,electropop,2017,103,-7,248,78
Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,dance pop,2017,102,-4,251,78
I Don’t Wanna Live Forever (Fifty Shades Darker),ZAYN,dance pop,2017,118,-8,245,78
My Way,Calvin Harris,dance pop,2017,120,-3,219,78
"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",DJ Khaled,dance pop,2017,81,-4,289,77
Praying,Kesha,dance pop,2017,73,-7,230,77
Despacito - Remix,Luis Fonsi,latin,2017,178,-4,229,76
The Greatest,Sia,australian dance,2017,192,-6,210,76
There for You,Martin Garrix,big room,2017,106,-8,222,76
Paris,The Chainsmokers,electropop,2017,100,-7,222,76
Crying in the Club,Camila Cabello,dance pop,2017,85,-6,216,75
Mama,Jonas Blue,dance pop,2017,104,-4,184,75
Slide (feat. Frank Ocean & Migos),Calvin Harris,dance pop,2017,104,-3,231,75
Swish Swish,Katy Perry,dance pop,2017,120,-5,243,73
Chained To The Rhythm,Katy Perry,dance pop,2017,190,-5,238,72
Cold (feat. Future),Maroon 5,pop,2017,100,-6,234,72
Love,Lana Del Rey,art pop,2017,99,-11,273,72
Reggaetón Lento (Remix),CNCO,boy band,2017,94,-3,189,71
All I Ask,Adele,british soul,2017,142,-5,272,71
First Time,Kygo,edm,2017,90,-7,194,71
The Cure,Lady Gaga,dance pop,2017,100,-5,211,71
"How Far I'll Go - From ""Moana""",Alessia Cara,canadian contemporary r&b,2017,181,-10,176,71
Bodak Yellow,Cardi B,pop,2017,125,-6,224,70
Rich Love (with Seeb),OneRepublic,dance pop,2017,105,-4,201,70
Tired,Alan Walker,electro house,2017,124,-4,192,70
Came Here for Love,Sigala,dance pop,2017,125,-3,203,70
24K Magic,Bruno Mars,pop,2017,107,-4,226,69
Strip That Down (feat. Quavo),Liam Payne,dance pop,2017,106,-5,202,69
Cut To The Feeling,Carly Rae Jepsen,canadian pop,2017,115,-3,208,69
OK - Spotify Version,Robin Schulz,dance pop,2017,122,-6,189,69
Bon appétit,Katy Perry,dance pop,2017,106,-6,228,68
Summer Bummer (feat. A$AP Rocky & Playboi Carti),Lana Del Rey,art pop,2017,135,-9,261,67
Get Low (with Liam Payne),Zedd,complextro,2017,108,-4,205,66
Kissing Strangers,DNCE,dance pop,2017,120,-6,202,66
Slow Hands,Niall Horan,dance pop,2017,86,-7,188,64
Younger Now,Miley Cyrus,dance pop,2017,122,-5,249,62
Body Moves,DNCE,dance pop,2017,102,-5,236,62
Reality (feat. Janieck Devy) - Radio Edit,Lost Frequencies,belgian edm,2017,122,-7,158,59
Angel,Fifth Harmony,dance pop,2017,124,-6,189,59
Touch (feat. Kid Ink),Little Mix,dance pop,2017,102,-4,203,59
We Don't Talk Anymore - DROELOE Remix,Charlie Puth,dance pop,2017,100,-5,218,59
Love Incredible (feat. Camila Cabello),Cashmere Cat,downtempo,2017,167,-9,180,59
No Vacancy (with Sebastián Yatra),OneRepublic,dance pop,2017,100,-4,223,57
Rich Boy,Galantis,big room,2017,110,-2,184,55
Lust for Life (with The Weeknd),Lana Del Rey,art pop,2017,100,-9,264,54
Greenlight (feat. Flo Rida & LunchMoney Lewis),Pitbull,dance pop,2017,115,-6,245,54
Influence,Tove Lo,dance pop,2017,105,-10,225,54
Remember I Told You,Nick Jonas,dance pop,2017,113,-6,202,53
Messin' Around,Pitbull,dance pop,2017,158,-5,223,51
Water Under the Bridge,Adele,british soul,2017,95,-7,240,49
Free Me,Sia,australian dance,2017,87,-4,286,44
Kissing Strangers - Remix,DNCE,dance pop,2017,120,-6,202,43
A L I E N S,Coldplay,permanent wave,2017,148,-5,282,41
One Kiss (with Dua Lipa),Calvin Harris,dance pop,2018,124,-3,215,86
Havana (feat. Young Thug),Camila Cabello,dance pop,2018,105,-4,217,85
I Like It,Cardi B,pop,2018,136,-4,253,85
New Rules,Dua Lipa,dance pop,2018,116,-6,209,84
There's Nothing Holdin' Me Back,Shawn Mendes,canadian pop,2018,122,-4,199,84
no tears left to cry,Ariana Grande,dance pop,2018,122,-6,206,84
IDGAF,Dua Lipa,dance pop,2018,97,-6,218,84
In My Blood,Shawn Mendes,canadian pop,2018,140,-7,211,83
Wolves,Selena Gomez,dance pop,2018,125,-5,198,83
Dusk Till Dawn - Radio Edit,ZAYN,dance pop,2018,180,-7,239,83
Attention,Charlie Puth,dance pop,2018,100,-5,209,83
Electricity (with Dua Lipa),Silk City,edm,2018,118,-6,238,82
Love On The Brain,Rihanna,barbadian pop,2018,172,-5,224,82
"Let Me Go (with Alesso, Florida Georgia Line & watt)",Hailee Steinfeld,dance pop,2018,103,-4,175,82
Silence,Marshmello,brostep,2018,142,-3,181,82
Sorry Not Sorry,Demi Lovato,dance pop,2018,144,-7,204,81
Shallow - Radio Edit,Lady Gaga,dance pop,2018,96,-7,217,80
These Days,Rudimental,dance pop,2018,92,-4,211,80
What Lovers Do (feat. SZA),Maroon 5,pop,2018,110,-5,200,79
Finesse - Remix; feat. Cardi B,Bruno Mars,pop,2018,105,-5,217,78
Perfect Duet (Ed Sheeran & Beyoncé),Ed Sheeran,pop,2018,95,-7,260,78
Bad At Love,Halsey,dance pop,2018,118,-4,181,78
Him & I (with Halsey),G-Eazy,hip hop,2018,88,-6,269,78
Friends (with BloodPop®),Justin Bieber,canadian pop,2018,105,-5,189,77
Wild Thoughts (feat. Rihanna & Bryson Tiller),DJ Khaled,dance pop,2018,98,-3,204,76
My My My!,Troye Sivan,dance pop,2018,103,-8,205,76
Capital Letters,Hailee Steinfeld,dance pop,2018,100,-6,219,76
Sick Boy,The Chainsmokers,electropop,2018,90,-8,193,76
Tequila,Dan + Shay,contemporary country,2018,86,-6,196,76
Look What You Made Me Do,Taylor Swift,pop,2018,128,-6,212,75
Youth (feat. Khalid),Shawn Mendes,canadian pop,2018,100,-7,191,75
Bad Liar,Selena Gomez,dance pop,2018,121,-6,215,75
Anywhere,Rita Ora,dance pop,2018,107,-4,215,74
Say Something,Justin Timberlake,dance pop,2018,97,-7,279,74
Chun-Li,Nicki Minaj,dance pop,2018,129,-5,192,73
Sign of the Times,Harry Styles,dance pop,2018,120,-5,341,72
Familiar,Liam Payne,dance pop,2018,93,-5,197,72
Let Me,ZAYN,dance pop,2018,168,-6,185,72
Supernova,Ansel Elgort,dance pop,2018,140,-5,191,72
Nervous,Shawn Mendes,canadian pop,2018,122,-7,164,71
First Time,Kygo,edm,2018,90,-7,194,71
End Game,Taylor Swift,pop,2018,159,-6,245,70
Mi Gente (feat. Beyoncé),J Balvin,latin,2018,105,-6,210,68
Lemon,N.E.R.D,hip hop,2018,95,-7,220,68
For You (With Rita Ora),Liam Payne,dance pop,2018,113,-5,243,67
Want To,Dua Lipa,dance pop,2018,92,-5,212,67
What I Need (feat. Kehlani),Hayley Kiyoko,dance pop,2018,104,-4,220,67
Wait,Maroon 5,pop,2018,126,-5,191,67
What About Us,P!nk,dance pop,2018,114,-6,272,66
Kissing Strangers,DNCE,dance pop,2018,120,-6,202,66
2U (feat. Justin Bieber),David Guetta,dance pop,2018,145,-7,195,65
Walk On Water (feat. Beyoncé),Eminem,detroit hip hop,2018,82,-10,304,65
This Town,Niall Horan,dance pop,2018,112,-8,233,64
"Girls (feat. Cardi B, Bebe Rexha & Charli XCX)",Rita Ora,dance pop,2018,94,-4,221,64
MOVE TO MIAMI,Enrique Iglesias,dance pop,2018,100,-4,169,64
Miss You (with Major Lazer & Tory Lanez),Cashmere Cat,downtempo,2018,100,-5,186,64
Filthy,Justin Timberlake,dance pop,2018,97,-6,294,62
Never Be the Same - Radio Edit,Camila Cabello,dance pop,2018,130,-4,227,57
Ferrari,Bebe Rexha,dance pop,2018,77,-6,213,57
Supplies,Justin Timberlake,dance pop,2018,120,-7,226,57
Boom Boom,RedOne,moroccan pop,2018,110,-8,248,53
...Ready For It? - BloodPop® Remix,Taylor Swift,pop,2018,160,-5,190,52
Drip (feat. Migos),Cardi B,pop,2018,130,-8,264,45
Tell Me You Love Me - NOTD Remix,Demi Lovato,dance pop,2018,102,-5,182,44
Memories,Maroon 5,pop,2019,91,-7,189,99
Lose You To Love Me,Selena Gomez,dance pop,2019,102,-9,206,97
Someone You Loved,Lewis Capaldi,pop,2019,110,-6,182,96
Señorita,Shawn Mendes,canadian pop,2019,117,-6,191,95
How Do You Sleep?,Sam Smith,pop,2019,111,-5,202,93
South of the Border (feat. Camila Cabello & Cardi B),Ed Sheeran,pop,2019,98,-6,204,92
Trampoline (with ZAYN),SHAED,electropop,2019,127,-6,184,92
Happier,Marshmello,brostep,2019,100,-3,214,90
Truth Hurts,Lizzo,escape room,2019,158,-3,173,90
Good as Hell (feat. Ariana Grande) - Remix,Lizzo,escape room,2019,96,-3,159,90
Higher Love,Kygo,edm,2019,104,-7,228,88
Only Human,Jonas Brothers,boy band,2019,94,-6,183,87
Beautiful People (feat. Khalid),Ed Sheeran,pop,2019,93,-8,198,86
Sucker,Jonas Brothers,boy band,2019,138,-5,181,86
Don't Call Me Up,Mabel,dance pop,2019,99,-3,178,86
I Don't Care (with Justin Bieber),Ed Sheeran,pop,2019,102,-5,220,85
Talk (feat. Disclosure),Khalid,alternative r&b,2019,136,-9,198,84
Giant (with Rag'n'Bone Man),Calvin Harris,dance pop,2019,122,-4,229,84
Takeaway,The Chainsmokers,electropop,2019,100,-8,210,83
All Around The World (La La La),R3HAB,big room,2019,125,-5,148,82
Girls Like You (feat. Cardi B),Maroon 5,pop,2019,125,-7,236,81
Call You Mine,The Chainsmokers,electropop,2019,104,-6,218,81
No Guidance (feat. Drake),Chris Brown,dance pop,2019,93,-7,261,81
Antisocial (with Travis Scott),Ed Sheeran,pop,2019,152,-5,162,78
"Taki Taki (feat. Selena Gomez, Ozuna & Cardi B)",DJ Snake,electronic trap,2019,96,-4,213,77
Con Calma - Remix,Daddy Yankee,latin,2019,94,-3,181,76
Find U Again (feat. Camila Cabello),Mark Ronson,dance pop,2019,104,-7,176,75
Cross Me (feat. Chance the Rapper & PnB Rock),Ed Sheeran,pop,2019,95,-6,206,75
"No Brainer (feat. Justin Bieber, Chance the Rapper & Quavo)",DJ Khaled,dance pop,2019,136,-5,260,70
Nothing Breaks Like a Heart (feat. Miley Cyrus),Mark Ronson,dance pop,2019,114,-6,217,69
Kills You Slowly,The Chainsmokers,electropop,2019,150,-9,213,67
